category,Value11,value21
bicycle,2205,1607
foot,21490,15713
other,1182,2252
noWork,155902,299853
home,10043,38674
metro,130,151
train,2864,1457
bus,14912,10947
taxi,708,2261
motorcycle,843,475
carDriver,77965,70234
carPassenger,10766,9844
bicycle,3594,2817
foot,15042,11501
other,693,1782
noWork,94311,195181
home,4595,8833
metro,25,14
train,926,287
bus,591,254
taxi,55,63
motorcycle,120,51
carDriver,15703,13199
carPassenger,1299,926
bicycle,331,217
foot,3799,3061
other,156,229
noWork,12456,29795
home,3682,15903
metro,86,95
train,4301,1756
bus,5921,4753
taxi,286,362
motorcycle,343,268
carDriver,31935,27783
carPassenger,2727,2546
bicycle,1384,1070
foot,4587,3643
other,214,724
noWork,21882,59592
home,15619,70976
metro,10923,8146
train,41346,17229
bus,24193,19903
taxi,544,884
motorcycle,1471,1454
carDriver,59655,52381
carPassenger,3903,3507
bicycle,2115,2422
foot,12296,10018
other,922,2489
noWork,90061,201312
home,8844,30226
metro,511,279
train,6201,1640
bus,2200,1042
taxi,266,390
motorcycle,487,302
carDriver,43992,34277
carPassenger,3264,2463
bicycle,788,605
foot,6599,5279
other,285,695
noWork,30973,77883
home,4180,11962
metro,33,18
train,828,403
bus,3380,1405
taxi,403,720
motorcycle,191,122
carDriver,28981,25487
carPassenger,3337,2742
bicycle,1151,966
foot,6284,4982
other,246,489
noWork,27621,58503
home,3809,18217
metro,354,475
train,8363,4573
bus,2524,1963
taxi,293,394
motorcycle,685,429
carDriver,27403,26492
carPassenger,2144,1904
bicycle,525,532
foot,3340,3262
other,171,583
noWork,20877,57930
home,5136,8600
metro,26,13
train,429,236
bus,1366,989
taxi,245,189
motorcycle,194,159
carDriver,25901,24399
carPassenger,2625,2032
bicycle,633,504
foot,4395,3349
other,206,376
noWork,26520,54971
home,7829,27260
metro,83,83
train,1196,537
bus,9978,5982
taxi,893,2065
motorcycle,970,547
carDriver,65944,57902
carPassenger,7128,6705
bicycle,4158,2956
foot,13755,11079
other,488,1085
noWork,66869,145163
home,6390,11376
metro,42,16
train,418,112
bus,772,316
taxi,48,53
motorcycle,204,93
carDriver,21520,16972
carPassenger,1620,1040
bicycle,357,302
foot,3454,2655
other,180,293
noWork,16973,38312
home,11055,25503
metro,114,61
train,2827,1171
bus,9961,6288
taxi,774,1563
motorcycle,816,433
carDriver,82346,79823
carPassenger,9972,9293
bicycle,3227,2475
foot,12214,9796
other,509,1452
noWork,87062,170248
home,5191,12291
metro,87,52
train,1749,1023
bus,1799,1100
taxi,228,264
motorcycle,427,264
carDriver,30887,27830
carPassenger,3017,2344
bicycle,1041,674
foot,5654,4462
other,316,622
noWork,30390,65484
home,10956,31434
metro,195,126
train,4102,1889
bus,10188,6125
taxi,422,1474
motorcycle,1216,563
carDriver,94090,85285
carPassenger,8057,7105
bicycle,1723,1263
foot,10645,8127
other,404,1249
noWork,84728,178848
home,15002,63137
metro,43953,20319
train,9710,5788
bus,22660,18840
taxi,362,761
motorcycle,1647,1531
carDriver,51845,42941
carPassenger,3125,3082
bicycle,4760,5026
foot,10974,11236
other,782,2365
noWork,87944,192088
home,5702,15606
metro,50,16
train,2303,894
bus,706,320
taxi,86,105
motorcycle,301,173
carDriver,28943,22735
carPassenger,2098,1473
bicycle,1220,812
foot,2353,2211
other,157,350
noWork,16795,43067
home,10081,19757
metro,77,26
train,1399,540
bus,1541,1159
taxi,145,113
motorcycle,615,441
carDriver,34845,34839
carPassenger,2792,2149
bicycle,1286,1177
foot,6647,5856
other,480,671
noWork,32874,84101
home,8475,23141
metro,88,42
train,2945,707
bus,770,417
taxi,78,99
motorcycle,388,235
carDriver,37337,30391
carPassenger,2402,1968
bicycle,962,487
foot,4713,3710
other,299,534
noWork,25065,64012
home,8672,31278
metro,559,322
train,9383,3033
bus,1327,1012
taxi,243,232
motorcycle,406,211
carDriver,42056,32231
carPassenger,2507,1821
bicycle,900,600
foot,5937,5088
other,235,696
noWork,27868,73634
home,8626,10993
metro,64,20
train,134,83
bus,1032,615
taxi,181,162
motorcycle,390,235
carDriver,33997,33094
carPassenger,2662,2317
bicycle,2019,1193
foot,6846,6224
other,360,641
noWork,43617,86719
home,18942,38568
metro,103,57
train,2206,782
bus,4428,1936
taxi,472,388
motorcycle,1182,697
carDriver,101115,89258
carPassenger,8579,6390
bicycle,5819,4063
foot,14774,12269
other,1137,1713
noWork,86837,186095
home,5555,13235
metro,34,26
train,594,223
bus,1600,748
taxi,419,960
motorcycle,404,286
carDriver,34628,32945
carPassenger,3613,3384
bicycle,1738,1346
foot,6142,5615
other,194,550
noWork,28138,64701
home,6198,23893
metro,47,41
train,2489,853
bus,1909,829
taxi,115,189
motorcycle,713,421
carDriver,44577,35345
carPassenger,3202,2351
bicycle,1645,1148
foot,4570,3829
other,303,617
noWork,25814,66927
home,5771,7682
metro,20,13
train,206,69
bus,578,405
taxi,67,44
motorcycle,86,48
carDriver,15360,14504
carPassenger,1311,962
bicycle,326,236
foot,3601,3062
other,135,308
noWork,11274,27400
home,9879,35983
metro,616,289
train,12968,2759
bus,1353,685
taxi,169,138
motorcycle,735,391
carDriver,31638,20448
carPassenger,1644,1159
bicycle,2001,1431
foot,3417,3063
other,310,634
noWork,27297,71774
home,12362,44977
metro,20636,12557
train,15909,7138
bus,17728,15289
taxi,668,819
motorcycle,933,788
carDriver,55090,46721
carPassenger,3390,3146
bicycle,1905,2040
foot,8268,8213
other,733,2177
noWork,86402,186120
home,7060,25171
metro,11466,4744
train,2629,1538
bus,1269,853
taxi,696,467
motorcycle,582,297
carDriver,32030,27015
carPassenger,1931,1723
bicycle,482,403
foot,3201,2805
other,263,778
noWork,29013,69184
home,4114,17930
metro,537,347
train,7525,2144
bus,1443,849
taxi,198,169
motorcycle,487,352
carDriver,18677,13636
carPassenger,1083,926
bicycle,946,659
foot,2830,2537
other,165,362
noWork,16165,41029
home,4621,13607
metro,55,109
train,768,241
bus,3791,2157
taxi,143,216
motorcycle,628,315
carDriver,35070,30285
carPassenger,2847,2390
bicycle,1866,1215
foot,4896,3950
other,166,482
noWork,27758,57940
home,4825,18285
metro,52,35
train,1089,528
bus,5179,2838
taxi,195,208
motorcycle,695,472
carDriver,25758,22190
carPassenger,2979,2176
bicycle,3542,2821
foot,12621,9603
other,204,543
noWork,32405,71009
home,5596,19206
metro,44,32
train,2049,599
bus,1063,501
taxi,129,179
motorcycle,720,333
carDriver,38090,28382
carPassenger,2572,1744
bicycle,2056,1200
foot,3668,2838
other,458,618
noWork,24753,58882
home,4683,9463
metro,43,26
train,627,294
bus,893,528
taxi,160,129
motorcycle,312,218
carDriver,28976,28166
carPassenger,2913,2708
bicycle,2022,1457
foot,3696,3654
other,189,467
noWork,24744,55357
home,6577,16269
metro,44,27
train,640,258
bus,2894,1674
taxi,319,356
motorcycle,522,365
carDriver,51486,45411
carPassenger,4848,3769
bicycle,1294,1126
foot,5079,3996
other,346,571
noWork,38276,81142
home,5307,13770
metro,91,40
train,1835,932
bus,2296,1319
taxi,222,256
motorcycle,347,198
carDriver,28731,23922
carPassenger,2584,1932
bicycle,866,538
foot,5704,4360
other,297,552
noWork,29658,61939
home,5459,11230
metro,26,10
train,334,95
bus,884,489
taxi,43,34
motorcycle,391,201
carDriver,26174,23378
carPassenger,2144,1640
bicycle,446,286
foot,2996,2285
other,171,341
noWork,21273,47014
home,4055,11361
metro,32,31
train,416,176
bus,1339,793
taxi,139,159
motorcycle,235,116
carDriver,22153,18312
carPassenger,1690,1312
bicycle,959,535
foot,3325,2498
other,167,423
noWork,20034,45658
home,6383,23427
metro,4270,1528
train,705,391
bus,13909,7201
taxi,453,774
motorcycle,364,233
carDriver,50236,40957
carPassenger,5830,4249
bicycle,1314,1092
foot,7966,6677
other,447,990
noWork,56202,108632
home,5150,17220
metro,193,67
train,362,173
bus,7516,3572
taxi,178,240
motorcycle,425,212
carDriver,33686,28293
carPassenger,2724,1939
bicycle,1043,747
foot,4107,3229
other,214,495
noWork,27686,61076
home,4379,15908
metro,46,24
train,397,215
bus,4513,2786
taxi,110,194
motorcycle,666,418
carDriver,37779,34341
carPassenger,3558,3161
bicycle,3035,2174
foot,6676,5909
other,215,491
noWork,27568,66795
home,2886,8865
metro,21,23
train,558,208
bus,2025,1128
taxi,186,223
motorcycle,948,486
carDriver,22740,20010
carPassenger,2049,1575
bicycle,4283,2433
foot,3863,2876
other,504,656
noWork,19436,43468
home,3912,13037
metro,205,203
train,5053,2655
bus,3125,1665
taxi,188,224
motorcycle,528,344
carDriver,27428,24799
carPassenger,2953,2591
bicycle,449,405
foot,3591,3264
other,207,574
noWork,25552,57139
home,3817,6813
metro,31,20
train,248,124
bus,2443,1807
taxi,215,209
motorcycle,415,257
carDriver,23861,22863
carPassenger,2704,2488
bicycle,1689,1276
foot,4895,4314
other,946,969
noWork,28970,58609
home,9610,57959
metro,17440,13632
train,26997,12376
bus,18336,15318
taxi,513,635
motorcycle,1221,882
carDriver,30825,28623
carPassenger,2204,2160
bicycle,2669,2688
foot,7110,7001
other,896,1660
noWork,68901,146134
home,9154,30814
metro,216,92
train,7653,1617
bus,2352,1264
taxi,138,167
motorcycle,522,359
carDriver,37853,25794
carPassenger,2478,1846
bicycle,1766,1187
foot,7615,5886
other,274,748
noWork,32033,73876
home,8546,12259
metro,34,24
train,352,198
bus,2379,1266
taxi,105,125
motorcycle,264,135
carDriver,31511,29336
carPassenger,3071,2268
bicycle,677,532
foot,6724,5292
other,298,385
noWork,34952,65575
home,11963,66844
metro,22486,10239
train,8336,4991
bus,30541,13995
taxi,492,962
motorcycle,1220,672
carDriver,12445,11646
carPassenger,877,851
bicycle,16389,10011
foot,13187,12698
other,620,1401
noWork,68867,124838
home,3696,14548
metro,38,26
train,1081,470
bus,3787,1916
taxi,321,492
motorcycle,351,232
carDriver,37640,31780
carPassenger,3988,3231
bicycle,1191,1182
foot,5221,4296
other,263,534
noWork,35131,69772
home,7270,13303
metro,37,18
train,550,171
bus,676,188
taxi,80,82
motorcycle,193,97
carDriver,27312,22912
carPassenger,2079,1349
bicycle,1196,640
foot,5612,4192
other,250,451
noWork,20000,47286
home,10416,51319
metro,37734,11578
train,4269,2376
bus,13395,7504
taxi,374,595
motorcycle,2060,994
carDriver,11084,7781
carPassenger,678,514
bicycle,7103,4915
foot,11980,9439
other,525,1078
noWork,45934,85064
home,6408,17474
metro,56,21
train,814,269
bus,870,405
taxi,57,74
motorcycle,252,102
carDriver,29182,25108
carPassenger,1791,1372
bicycle,886,535
foot,3595,3057
other,168,354
noWork,17834,48854
home,12465,55767
metro,43784,21629
train,8754,5273
bus,20959,15341
taxi,266,626
motorcycle,1536,1107
carDriver,21550,18436
carPassenger,1298,1457
bicycle,5911,5226
foot,7199,7920
other,574,1599
noWork,68766,129857
home,2778,9631
metro,1181,753
train,1679,979
bus,2122,1108
taxi,408,548
motorcycle,282,262
carDriver,23976,24427
carPassenger,2720,2508
bicycle,1018,985
foot,4084,4245
other,153,535
noWork,18268,47347
home,12145,28233
metro,118,38
train,1903,503
bus,3053,1383
taxi,204,222
motorcycle,436,237
carDriver,47030,36036
carPassenger,3936,2684
bicycle,1723,1190
foot,10465,8490
other,389,669
noWork,32636,82982
home,11574,45175
metro,27877,15605
train,7537,4721
bus,9950,8673
taxi,354,516
motorcycle,581,590
carDriver,45283,37918
carPassenger,2713,3223
bicycle,869,915
foot,6746,6146
other,416,1555
noWork,60851,136166
home,6957,22579
metro,80,46
train,3282,665
bus,546,227
taxi,71,68
motorcycle,311,187
carDriver,31362,21942
carPassenger,1557,1194
bicycle,936,589
foot,2753,2535
other,192,413
noWork,18040,48963
home,2473,6570
metro,33,33
train,469,269
bus,2556,1241
taxi,673,639
motorcycle,175,73
carDriver,22863,22448
carPassenger,3157,2276
bicycle,706,561
foot,4305,3131
other,357,509
noWork,29037,54589
home,4386,10943
metro,72,44
train,2385,1068
bus,2280,1170
taxi,337,651
motorcycle,384,294
carDriver,21379,18992
carPassenger,2612,2184
bicycle,573,536
foot,6048,4495
other,215,523
noWork,25365,50096
home,4964,14413
metro,38,18
train,1586,624
bus,2518,1555
taxi,331,408
motorcycle,615,406
carDriver,36165,31164
carPassenger,3401,2827
bicycle,1631,1181
foot,4025,3215
other,281,557
noWork,30692,67840
home,8705,41654
metro,10492,8363
train,19934,8721
bus,8571,6949
taxi,1086,739
motorcycle,987,609
carDriver,51452,45890
carPassenger,3548,3357
bicycle,998,848
foot,6584,6101
other,489,1550
noWork,58282,137271
home,15123,22618
metro,85,31
train,612,271
bus,1491,555
taxi,250,248
motorcycle,601,404
carDriver,52643,47936
carPassenger,4601,3640
bicycle,3223,2569
foot,11062,9391
other,546,846
noWork,43205,98523
home,6104,21051
metro,2332,1310
train,5809,1999
bus,2248,1509
taxi,356,269
motorcycle,399,234
carDriver,26471,21164
